36,Mo,Sm,s1,44.96,1.45,0.00,1.67,6979,4243,12.97,246.3,48.6,2.92,1227.9,3.16,146,4.6,29.35,73,12.74,27.53,4.8,0.45,151.3,18.4,47.09,782.03,3.33,104,11,9,9,9,-0.49,2845,1549,7.47,-54.42,-17.6,-0.32,141.9,-0.44,46,-0.58,-10.55,27,1.46,5.39,4.8,0.05,124.7,16.2,24.91,398.77,0.99,-20,-1,3,3,3,-4.31,8.00,3.08,0.00
37,Y,Ag,s1,48.56,-0.70,0.00,2.17,6047,3030.08,14.97,196.78,49.9,2.96,1347,3.25,125.7,4.02,30.1,77,13.96,33.73,30.2,0.53,446.2,64.7,28.45,643.93,3.15,86,10,14,5,4,-0.13,1175,559.92,-6.03,-18.96,15.9,0.28,-115,0.37,-125.7,0.52,9.5,-53,-1.2,-9.25,-7.6,0.07,-411.8,-61.1,5.85,142.67,-0.71,-8,0,-8,1,2,-4.31,8.00,3.08,0.00
38,Nb,Ir,s1,32.86,-0.41,0.00,1.27,9715,5462,31.17,285.13,31.9,2.61,1544,2.79,246,3.95,19.41,107,15.98,30.32,13.7,0.4,200.7,27.9,53.26,1253.68,3.8,118,11,14,8,9,0.01,315,22,-14.03,-99.31,4.3,0.07,-216,0.07,-54,0.21,2.33,-13,-2.22,-1.68,0.9,0.14,-93.3,-14.7,0.54,126.52,-0.6,-36,-1,-4,2,1,-4.31,8.00,3.08,0.00
39,Zn,Ag,s1,32.42,0.08,0.00,1.89,3616,1927.81,17.63,173.26,32.1,2.59,1637.4,2.77,125.7,3.28,19.5,134,16.97,39.45,49.1,0.62,545,79.8,18.68,365.93,3.58,77,9,23,4,3,-0.41,-1256,-542.35,-3.37,-42.48,-1.9,-0.09,175.4,-0.11,-125.7,-0.22,-1.1,4,1.81,-3.53,11.3,0.16,-313,-46,-3.92,-135.33,-0.28,-17,-1,1,0,1,-4.31,8.00,3.08,0.00
40,V,Os,s1,27.39,-0.35,0.00,1.17,8950,5463,28.71,241.14,27.6,2.48,1490,2.66,160,3.84,17.27,103,15.44,30.65,13.5,0.62,118.3,16.3,52.09,1074.3,3.83,99,10,13,13,9,-0.09,-1650,-1137,-16.49,-139.26,0,-0.04,-190,-0.02,-60,0,0.29,-11,-1.96,-1.35,3.3,0.36,-56.9,-8.3,-6.49,-180.9,-0.57,-53,-2,-3,-3,1,-4.31,8.00,3.08,0.00
41,Na,Br,s1,51.70,-2.89,2.91,2.98,1487.85,636.95,4.09,102.89,104.8,2.68,1635.7,3.04,377.3,3.35,49.3,97,16.95,69.09,71,1.46,141.12,20.1,7.89,112.73,3.89,46,7,18,8,2,-0.94,824.15,105.05,-2.15,-56.91,-25.4,0.4,-644.1,0.76,-271.9,1.11,-1.9,-93,-6.67,25.49,71,1,140.88,20.1,-2.69,83.29,-2.03,-24,-1,-16,-6,0,-4.31,8.00,3.08,0.00
42,Os,Tb,s1,39.76,0.08,0.00,1.81,8800,4929,30.83,349.13,45.7,2.85,1404,3.12,160,4.43,27.69,86,14.56,27.53,14.5,0.31,98.7,13.2,40.09,922.6,3.4,141,12,11,12,7,-0.55,1800,1671,14.37,31.27,-18.1,-0.33,276,-0.44,60,-0.59,-10.71,28,2.84,4.47,-4.3,-0.05,76.5,11.4,18.49,332.6,1,11,0,5,4,1,-4.31,8.00,3.08,0.00
43,F,Ag,s1,27.91,-1.86,0.00,2.48,2521,1288.63,12.2,126.87,33.4,2.06,2412,2.16,453.7,2.32,22.9,158,25,56.46,1818.9,1.05,429.03,74.9,11.56,253.9,5.91,56,7,28,3,2,0.18,-2351,-1181.53,-8.8,-88.87,-0.6,-0.62,950,-0.72,202.3,-1.18,2.3,28,9.84,13.48,1781.1,0.59,-428.97,-50.9,-11.04,-247.36,2.05,-38,-3,6,-1,0,-4.31,8.00,3.08,0.00
44,Ga,V,s1,28.44,0.12,0.00,1.16,6128,2465.92,12.02,120.66,33.4,2.48,1228.8,2.73,79,3.73,20.58,120,12.74,35.16,28.1,0.86,71.3,5.8,28.39,702.76,3.44,54,8,18,8,8,0.08,-1172,-1860.08,-0.2,18.78,5.8,0.04,-71.2,0.09,-21,-0.11,3.02,28,-0.74,5.86,11.3,-0.12,9.9,-2.2,-17.21,-190.64,0.18,8,0,8,-2,-2,-4.31,8.00,3.08,0.00
45,In,Sm,s1,56.55,-0.99,0.00,1.88,4417,1776.78,10.06,265.18,59.2,3.06,1101.3,3.46,79,4.59,35.65,98,11.43,29.94,32.1,0.43,94.9,4.5,14.35,417.97,2.95,111,11,16,6,6,-0.28,283,-917.22,4.56,-35.54,-7,-0.18,15.3,-0.14,-21,-0.59,-4.25,52,0.15,7.8,32.1,0.03,68.3,2.3,-7.83,34.71,0.61,-13,-1,10,0,0,-4.31,8.00,3.08,0.00
